id_medicao;data_medicao;id_projeto
386209;2025-11-28;28377
384787;2025-11-21;28377
382684;2025-11-14;28377
380201;2025-11-07;28377
376408;2025-10-28;28377
375515;2025-10-24;28377
373362;2025-10-17;28377
371174;2025-10-10;28377
369547;2025-10-03;28377
364934;2025-09-26;28377
362250;2025-09-19;28377
360139;2025-09-12;28377
357293;2025-09-05;28377
354778;2025-08-29;28377
350461;2025-08-22;28377
349035;2025-08-15;28377
349011;2025-08-08;28377
344071;2025-07-31;28377
341273;2025-07-25;28377
339535;2025-07-18;28377
294380;2025-07-11;28377
247424;2025-07-04;28377
244672;2025-06-27;28377
241987;2025-06-20;28377
240594;2025-06-14;28377
238308;2025-06-07;28377
236052;2025-05-30;28377
232083;2025-05-23;28377
446982;2026-04-17;28378
443418;2026-04-10;28378
440900;2026-04-02;28378
438106;2026-03-27;28378
435954;2026-03-23;28378
428478;2026-03-13;28378
421475;2026-03-06;28378
418031;2026-02-27;28378
415993;2026-02-20;28378
413847;2026-02-13;28378
412208;2026-02-06;28378
409642;2026-01-31;28378
402797;2026-01-23;28378
399947;2026-01-16;28378
397286;2026-01-10;28378
394064;2025-12-26;28378
393345;2025-12-19;28378
391593;2025-12-12;28378
389751;2025-12-05;28378
386676;2025-11-28;28378
384874;2025-11-21;28378
382922;2025-11-14;28378
380305;2025-11-08;28378
378116;2025-10-31;28378
375643;2025-10-25;28378
373388;2025-10-18;28378
371294;2025-10-11;28378
368395;2025-10-03;28378
364925;2025-09-27;28378
362193;2025-09-19;28378
359569;2025-09-12;28378
356617;2025-09-05;28378
354774;2025-08-29;28378
350510;2025-08-23;28378
348657;2025-08-15;28378
346380;2025-08-08;28378
344314;2025-08-01;28378
341387;2025-07-25;28378
339679;2025-07-18;28378
311072;2025-07-11;28378
247654;2025-07-04;28378
244705;2025-06-27;28378
242163;2025-06-20;28378
240530;2025-06-13;28378
238262;2025-06-06;28378
236620;2025-05-30;28378
231826;2025-05-23;28378
224550;2025-05-16;28378
222390;2025-05-09;28378
220605;2025-04-30;28378
218501;2025-04-25;28378
216803;2025-04-18;28378
214805;2025-04-12;28378
203726;2025-04-04;28378
201648;2025-03-28;28378
196607;2025-03-21;28378
194172;2025-03-14;28378
193031;2025-03-07;28378
191867;2025-02-28;28378
189620;2025-02-21;28378
187920;2025-02-14;28378
444242;2026-04-10;29362
441433;2026-04-03;29362
438882;2026-03-27;29362
436527;2026-03-20;29362
421912;2026-03-06;29362
418635;2026-02-27;29362
417361;2026-02-21;29362
416038;2026-02-20;29362
414426;2026-02-13;29362
411583;2026-02-07;29362
417360;2026-01-31;29362
409499;2026-01-30;29362
402352;2026-01-23;29362
397233;2026-01-09;29362
395343;2026-01-02;29362
417359;2025-12-31;29362
394182;2025-12-26;29362
393637;2025-12-19;29362
391318;2025-12-12;29362
389320;2025-12-05;29362
417357;2025-11-30;29362
386876;2025-11-28;29362
383823;2025-11-21;29362
382820;2025-11-14;29362
379941;2025-11-07;29362
378060;2025-10-31;29362
417348;2025-10-30;29362
375493;2025-10-24;29362
373266;2025-10-17;29362
371025;2025-10-10;29362
368099;2025-10-03;29362
417346;2025-09-30;29362
364950;2025-09-26;29362
361857;2025-09-19;29362
359579;2025-09-12;29362
356984;2025-09-05;29362
417345;2025-08-31;29362
354196;2025-08-29;29362
351652;2025-08-22;29362
348491;2025-08-15;29362
346101;2025-08-08;29362
343660;2025-08-01;29362
417344;2025-07-31;29362
341471;2025-07-25;29362
339815;2025-07-18;29362
260595;2025-07-11;29362
248275;2025-07-08;29362
246764;2025-07-04;29362
417343;2025-06-30;29362
242465;2025-06-20;29362
237431;2025-06-05;29362
447517;2026-04-17;29363
444801;2026-04-10;29363
441358;2026-04-03;29363
438933;2026-03-27;29363
435612;2026-03-20;29363
433485;2026-03-13;29363
421930;2026-03-06;29363
418657;2026-02-27;29363
415861;2026-02-20;29363
414854;2026-02-13;29363
411596;2026-02-06;29363
409516;2026-01-30;29363
402370;2026-01-23;29363
400016;2026-01-16;29363
397351;2026-01-09;29363
394844;2025-12-30;29363
393534;2025-12-19;29363
391597;2025-12-12;29363
389758;2025-12-05;29363
387117;2025-11-28;29363
384948;2025-11-24;29363
382936;2025-11-17;29363
380289;2025-11-07;29363
378081;2025-10-31;29363
375672;2025-10-24;29363
373438;2025-10-17;29363
371249;2025-10-10;29363
368625;2025-10-03;29363
365102;2025-09-26;29363
362162;2025-09-19;29363
360103;2025-09-12;29363
357940;2025-09-05;29363
354366;2025-08-29;29363
351580;2025-08-22;29363
348571;2025-08-15;29363
346392;2025-08-08;29363
344532;2025-08-01;29363
341361;2025-07-25;29363
339538;2025-07-18;29363
265627;2025-07-11;29363
247483;2025-07-04;29363
244710;2025-06-27;29363
241981;2025-06-20;29363
240531;2025-06-13;29363
238913;2025-06-06;29363
447284;2026-04-17;31712
443937;2026-04-10;31712
442203;2026-04-03;31712
437959;2026-03-27;31712
434465;2026-03-20;31712
426640;2026-03-13;31712
422302;2026-03-06;31712
418642;2026-02-27;31712
415444;2026-02-20;31712
414693;2026-02-13;31712
410876;2026-02-06;31712
408216;2026-01-30;31712
402303;2026-01-23;31712
402302;2026-01-16;31712
397920;2026-01-09;31712
397326;2025-12-19;31712
391336;2025-12-12;31712
389907;2025-12-05;31712
387507;2025-11-28;31712
384837;2025-11-21;31712
382871;2025-11-14;31712
380192;2025-11-07;31712
378100;2025-10-31;31712
376314;2025-10-28;31712
375577;2025-10-24;31712
373414;2025-10-17;31712
371198;2025-10-10;31712
368285;2025-10-03;31712
365018;2025-09-26;31712
362578;2025-09-19;31712
359906;2025-09-12;31712
357050;2025-09-05;31712
354550;2025-08-29;31712
350193;2025-08-22;31712
348469;2025-08-15;31712
345836;2025-08-08;31712
343840;2025-08-01;31712
341078;2025-07-25;31712
339550;2025-07-18;31712
334885;2025-07-15;31712
309181;2025-07-11;31712
247368;2025-07-04;31712
245007;2025-06-27;31712
245003;2025-06-20;31712
245000;2025-06-13;31712
237276;2025-06-04;31712
446072;2026-04-17;31713
443429;2026-04-10;31713
440494;2026-04-02;31713
437992;2026-03-27;31713
434497;2026-03-20;31713
428854;2026-03-13;31713
421081;2026-03-06;31713
420376;2026-02-27;31713
415690;2026-02-20;31713
413876;2026-02-13;31713
412426;2026-02-06;31713
406450;2026-01-30;31713
401317;2026-01-23;31713
401314;2026-01-16;31713
397161;2026-01-09;31713
393471;2025-12-19;31713
391736;2025-12-12;31713
389821;2025-12-05;31713
386846;2025-11-28;31713
384574;2025-11-21;31713
382682;2025-11-14;31713
380255;2025-11-07;31713
378083;2025-10-31;31713
375596;2025-10-24;31713
373503;2025-10-17;31713
371054;2025-10-10;31713
367800;2025-10-03;31713
364952;2025-09-26;31713
361907;2025-09-19;31713
359714;2025-09-12;31713
356515;2025-09-05;31713
354128;2025-08-29;31713
350377;2025-08-22;31713
348429;2025-08-15;31713
346281;2025-08-08;31713
343904;2025-08-01;31713
341560;2025-07-25;31713
339570;2025-07-18;31713
337474;2025-07-15;31713
247369;2025-07-04;31713
245013;2025-06-27;31713
447030;2026-04-17;31849
444037;2026-04-10;31849
441151;2026-04-02;31849
438725;2026-03-27;31849
435591;2026-03-20;31849
429719;2026-03-13;31849
429590;2026-03-06;31849
418547;2026-02-27;31849
415807;2026-02-20;31849
414666;2026-02-13;31849
411389;2026-02-06;31849
409451;2026-01-30;31849
405898;2026-01-23;31849
400545;2026-01-20;31849
397282;2026-01-09;31849
393472;2025-12-19;31849
390822;2025-12-12;31849
389290;2025-12-05;31849
386581;2025-11-28;31849
384300;2025-11-21;31849
382696;2025-11-14;31849
379886;2025-11-07;31849
377828;2025-10-31;31849
375466;2025-10-24;31849
373293;2025-10-17;31849
370827;2025-10-10;31849
368227;2025-10-03;31849
364243;2025-09-26;31849
361633;2025-09-19;31849
359314;2025-09-12;31849
356657;2025-09-05;31849
354400;2025-08-29;31849
350124;2025-08-22;31849
348038;2025-08-15;31849
346285;2025-08-08;31849
344031;2025-08-01;31849
341092;2025-07-25;31849
339321;2025-07-18;31849
259098;2025-07-11;31849
248188;2025-07-08;31849
246912;2025-07-04;31849
244521;2025-06-27;31849
241961;2025-06-20;31849
237377;2025-06-06;31849
449866;2026-04-24;33288
448942;2026-04-17;33288
443242;2026-04-10;33288
441848;2026-04-02;33288
438281;2026-03-27;33288
434937;2026-03-20;33288
429273;2026-03-13;33288
421251;2026-03-06;33288
418264;2026-02-27;33288
415410;2026-02-20;33288
414316;2026-02-13;33288
411278;2026-02-06;33288
408851;2026-01-30;33288
402656;2026-01-23;33288
399270;2026-01-16;33288
397459;2026-01-09;33288
394939;2026-01-02;33288
394905;2025-12-26;33288
393297;2025-12-19;33288
391020;2025-12-12;33288
389403;2025-12-05;33288
387076;2025-11-28;33288
384761;2025-11-21;33288
382780;2025-11-14;33288
